,Lot Shape,Land Contour,Lot Config,Neighborhood,Bldg Type,Year Built,Year Remod/Add,Exter Qual,Exter Cond,Overall Qual,Overall Cond,Gr Liv Area,Kitchen Qual,Garage Area,Garage Qual,Garage Cond,Sale Type,SalePrice
422,IR1,HLS,Inside,Timber,1Fam,2006,2007,Gd,TA,8,5,1646,Gd,870.0,TA,TA,New,248900
423,Reg,Lvl,Corner,SWISU,1Fam,1937,1950,TA,TA,5,7,1768,Gd,240.0,TA,TA,WD ,175000
424,Reg,Lvl,Inside,NAmes,2fmCon,1965,2000,TA,Gd,6,7,1565,Gd,299.0,TA,TA,WD ,185900
425,Reg,Lvl,Inside,OldTown,1Fam,1914,1970,TA,TA,7,7,1768,TA,320.0,TA,TA,WD ,163000
426,Reg,Lvl,Inside,IDOTRR,2fmCon,1951,1951,Fa,Fa,5,6,1396,TA,0.0,,,WD ,115000
427,Reg,Lvl,Inside,Sawyer,1Fam,1978,1978,TA,TA,6,5,1096,TA,484.0,TA,TA,WD ,157500
428,IR2,Lvl,CulDSac,Gilbert,1Fam,1999,1999,Gd,TA,7,5,2312,Gd,658.0,TA,TA,WD ,245000
429,IR1,HLS,Inside,StoneBr,TwnhsE,1993,1993,Gd,TA,8,5,1337,Gd,462.0,TA,TA,WD ,180000
430,IR2,Lvl,FR2,Somerst,TwnhsE,2004,2004,Gd,TA,7,5,1102,Gd,480.0,TA,TA,WD ,148800
431,Reg,Lvl,Inside,CollgCr,1Fam,2002,2002,Gd,TA,8,5,2031,Gd,577.0,TA,TA,WD ,237000
432,Reg,Bnk,Inside,SWISU,1Fam,1920,1950,TA,TA,2,5,438,Fa,246.0,TA,TA,WD ,60000
433,Reg,Lvl,Inside,Edwards,1Fam,1976,1976,TA,TA,5,5,1033,TA,504.0,Fa,TA,WD ,165000
434,IR2,Lvl,CulDSac,CollgCr,1Fam,2003,2003,Gd,TA,7,5,2327,Gd,596.0,TA,TA,WD ,240000
435,IR1,Lvl,Corner,Gilbert,1Fam,1992,1993,TA,TA,7,5,1187,Gd,420.0,TA,TA,WD ,160000
436,Reg,Bnk,Corner,SWISU,2fmCon,1945,1950,TA,TA,6,6,1340,TA,440.0,TA,TA,WD ,128000
437,Reg,Lvl,Inside,Edwards,Duplex,1955,1955,TA,TA,4,5,1152,Fa,0.0,,,WD ,82000
438,IR1,Lvl,Inside,NAmes,1Fam,1966,2008,TA,Gd,6,8,1567,Gd,542.0,TA,TA,WD ,256000
439,Reg,Lvl,Inside,OldTown,1Fam,1920,1988,TA,Gd,7,9,1482,TA,324.0,TA,TA,WD ,143000
440,IR1,HLS,Inside,Timber,1Fam,2006,2007,Gd,TA,7,5,1689,Gd,433.0,TA,TA,New,231713
441,IR1,Lvl,FR2,Gilbert,2fmCon,1969,1990,TA,TA,5,5,1424,TA,828.0,TA,TA,WD ,155000
442,Reg,Lvl,Inside,Mitchel,1Fam,1983,1983,TA,Gd,5,7,816,TA,264.0,TA,TA,WD ,128500
443,Reg,Lvl,Corner,SWISU,1Fam,1921,1950,TA,TA,7,8,1424,TA,312.0,TA,TA,WD ,168000
444,IR1,Lvl,CulDSac,NAmes,1Fam,1972,2004,TA,TA,7,9,1479,Gd,484.0,TA,TA,WD ,184000
445,Reg,Lvl,Inside,NAmes,2fmCon,1962,1962,TA,TA,5,5,1025,TA,0.0,,,WD ,124000
446,IR1,Lvl,Inside,NWAmes,1Fam,1970,1970,TA,TA,6,6,1442,TA,615.0,TA,TA,WD ,185000
447,IR1,Lvl,Corner,Gilbert,1Fam,2000,2000,Gd,TA,8,5,1936,Gd,504.0,TA,TA,WD ,230500
448,IR1,Lvl,Corner,CollgCr,1Fam,1998,1998,TA,TA,7,5,1939,Gd,555.0,TA,TA,WD ,227000
449,Reg,Lvl,FR2,CollgCr,1Fam,2005,2005,Gd,TA,6,5,1476,Gd,540.0,TA,TA,WD ,173500
450,Reg,Lvl,Inside,NAmes,1Fam,1968,1968,TA,TA,5,6,898,TA,326.0,TA,TA,WD ,140000
451,Reg,Lvl,Corner,Somerst,1Fam,2006,2007,Gd,TA,8,5,1460,Gd,480.0,TA,TA,WD ,247000
452,IR1,Lvl,CulDSac,Sawyer,1Fam,1978,1978,TA,TA,6,5,1034,TA,504.0,TA,TA,WD ,149900
453,IR1,Lvl,Inside,CollgCr,1Fam,1978,1978,TA,TA,5,6,1174,TA,528.0,TA,TA,WD ,158000
454,IR1,Lvl,FR2,Somerst,TwnhsE,2003,2003,Gd,TA,7,5,1080,Gd,496.0,TA,TA,WD ,147110
455,Reg,Bnk,Inside,IDOTRR,1Fam,1937,1950,TA,TA,6,6,1376,TA,198.0,TA,TA,WD ,119500
456,Reg,HLS,Inside,Crawfor,1Fam,1940,1950,TA,TA,5,6,1567,TA,440.0,TA,TA,WD ,205000
457,Reg,Lvl,Inside,OldTown,1Fam,1895,1999,TA,Gd,5,9,1534,Gd,0.0,,,WD ,148000
458,IR1,Lvl,Inside,StoneBr,TwnhsE,1995,1996,Gd,TA,8,5,1616,Gd,608.0,TA,TA,WD ,236500
459,Reg,Lvl,Inside,SWISU,1Fam,1938,1950,TA,TA,5,5,1551,Fa,240.0,Fa,TA,WD ,137000
460,Reg,Lvl,Inside,NAmes,1Fam,1955,1955,TA,TA,5,5,960,TA,330.0,TA,TA,WD ,122000
461,IR1,Lvl,Inside,Gilbert,1Fam,2007,2007,Gd,TA,7,5,1302,Gd,436.0,TA,TA,New,176485
462,IR2,Lvl,Inside,BrkSide,1Fam,1925,1950,TA,TA,5,5,816,TA,210.0,Fa,Fa,WD ,109000
463,IR1,Lvl,Inside,GrnHill,TwnhsE,1998,1998,Gd,TA,7,5,1502,Gd,286.0,TA,TA,WD ,330000
464,Reg,Bnk,Inside,OldTown,1Fam,2008,2008,TA,TA,6,5,1133,TA,308.0,TA,TA,WD ,143000
465,IR1,Lvl,Inside,NoRidge,1Fam,1998,1998,Gd,TA,9,5,3078,Gd,806.0,TA,TA,WD ,410000
466,IR1,Lvl,Inside,SawyerW,1Fam,1994,1994,Gd,Gd,6,5,1721,Gd,471.0,TA,TA,WD ,201000
467,Reg,Lvl,Inside,OldTown,1Fam,1910,1950,TA,TA,4,4,1760,TA,648.0,Fa,TA,COD,80000
468,IR1,Lvl,Inside,Crawfor,1Fam,1945,2002,TA,TA,6,8,2320,Gd,180.0,TA,TA,WD ,259500
469,IR1,Lvl,Inside,Timber,1Fam,2003,2004,Gd,TA,7,5,2486,Gd,452.0,TA,TA,WD ,279900
470,Reg,Lvl,Inside,NAmes,1Fam,1959,1994,TA,TA,5,7,1246,Gd,305.0,TA,TA,WD ,154000
471,IR2,Low,CulDSac,ClearCr,1Fam,1958,2006,Gd,TA,6,7,2144,Gd,389.0,TA,TA,WD ,277000
472,Reg,Lvl,Inside,Edwards,1Fam,1942,1950,TA,TA,5,5,1150,TA,215.0,TA,TA,WD ,128000
473,Reg,Lvl,Corner,NridgHt,1Fam,2007,2007,Gd,TA,8,5,1600,Gd,890.0,TA,TA,WD ,256300
474,IR1,HLS,Inside,Crawfor,1Fam,1930,2003,TA,Gd,4,6,1755,Gd,231.0,Fa,TA,WD ,188000
475,Reg,Lvl,Inside,Timber,1Fam,2002,2002,Gd,TA,8,5,1800,Gd,765.0,TA,TA,WD ,312500
476,Reg,Lvl,Inside,Somerst,TwnhsE,2004,2005,Gd,TA,7,5,1200,Gd,480.0,TA,TA,WD ,151000
477,Reg,Lvl,Inside,BrDale,TwnhsE,1971,1971,TA,TA,5,5,1365,TA,440.0,TA,TA,WD ,122500
478,Reg,Lvl,Inside,SawyerW,1Fam,2003,2003,Gd,TA,6,5,1696,Gd,542.0,TA,TA,WD ,188000
479,IR1,Lvl,Corner,CollgCr,1Fam,2005,2006,Gd,TA,7,5,1809,Gd,638.0,TA,TA,New,209700
480,IR1,HLS,Inside,StoneBr,1Fam,2006,2006,Gd,TA,8,5,2234,Gd,724.0,TA,TA,WD ,441929
481,IR1,Lvl,Inside,SawyerW,1Fam,1993,1994,Gd,TA,6,5,1680,Gd,474.0,TA,TA,WD ,163000
482,IR1,Low,Inside,ClearCr,1Fam,1966,2007,TA,TA,6,8,2087,Gd,444.0,TA,TA,WD ,187500
483,Reg,Lvl,FR3,CollgCr,1Fam,1999,2000,Gd,TA,8,5,1513,Gd,521.0,TA,TA,WD ,220000
484,Reg,Lvl,Inside,NAmes,1Fam,1967,1993,TA,TA,5,6,1107,Gd,308.0,TA,TA,WD ,127000
485,Reg,Lvl,Inside,NAmes,1Fam,1955,2007,TA,TA,5,7,827,TA,392.0,TA,TA,WD ,107500
486,Reg,Lvl,Inside,OldTown,1Fam,1914,2001,TA,TA,6,6,1484,TA,0.0,,,WD ,128000
487,IR3,Bnk,Inside,OldTown,1Fam,1925,2004,TA,TA,5,5,764,TA,504.0,TA,TA,WD ,73000
488,IR1,HLS,Inside,NridgHt,1Fam,2003,2004,Gd,TA,9,5,1792,Ex,874.0,TA,TA,WD ,374000
489,Reg,Lvl,Inside,NridgHt,1Fam,2001,2002,Gd,TA,8,5,2649,Gd,746.0,TA,TA,WD ,421250
490,IR1,Lvl,Corner,Gilbert,1Fam,1992,1993,TA,TA,6,5,1593,TA,389.0,TA,TA,WD ,178000
491,Reg,Lvl,Inside,Edwards,1Fam,1972,1972,TA,TA,4,5,1181,TA,588.0,TA,TA,WD ,137500
492,IR1,Lvl,Corner,NoRidge,1Fam,1994,1994,Gd,TA,8,5,1987,Gd,691.0,TA,TA,WD ,301500
493,Reg,Bnk,Inside,SWISU,1Fam,1935,1950,TA,TA,6,6,1242,TA,180.0,Fa,TA,WD ,105000
494,Reg,Lvl,Inside,NAmes,1Fam,1968,2004,TA,TA,6,7,976,Gd,504.0,TA,TA,WD ,157500
495,Reg,Lvl,Inside,OldTown,1Fam,1901,1950,TA,TA,5,3,1214,TA,216.0,TA,TA,WD ,117000
496,Reg,Lvl,Inside,NAmes,1Fam,1962,1962,TA,TA,5,6,864,TA,336.0,TA,TA,WD ,105000
497,Reg,Lvl,Inside,SWISU,1Fam,1936,1950,TA,TA,6,5,1639,TA,240.0,TA,TA,WD ,115000
498,Reg,Lvl,Inside,NridgHt,1Fam,2008,2008,Ex,TA,9,5,1736,Ex,834.0,TA,TA,WD ,360000
499,Reg,Bnk,Inside,SawyerW,Duplex,1979,1979,TA,TA,5,5,1535,TA,400.0,TA,TA,WD ,118858
500,Reg,Lvl,Inside,NWAmes,1Fam,1966,2000,TA,TA,6,8,1632,Gd,484.0,TA,TA,WD ,173000
501,Reg,Lvl,Corner,OldTown,1Fam,1890,1998,TA,TA,3,5,725,TA,320.0,TA,TA,WD ,78500
502,IR1,Lvl,Inside,Gilbert,1Fam,2004,2004,Gd,TA,7,5,1720,Gd,440.0,TA,TA,WD ,183500
503,Reg,Bnk,Inside,OldTown,2fmCon,1953,1953,Fa,TA,4,4,936,TA,576.0,TA,TA,WD ,93000
504,Reg,Lvl,Inside,Blmngtn,TwnhsE,2003,2003,Gd,TA,8,5,1589,Gd,630.0,TA,TA,WD ,226500
505,IR1,Lvl,Inside,Gilbert,1Fam,1993,1994,Gd,TA,6,7,1571,TA,380.0,TA,TA,WD ,178000
506,IR1,Lvl,Inside,CollgCr,1Fam,2003,2003,Gd,TA,7,5,1479,Gd,558.0,TA,TA,WD ,226000
507,IR1,Lvl,Inside,Mitchel,1Fam,1969,1969,Gd,Ex,5,7,1632,TA,898.0,TA,TA,WD ,173000
508,IR1,Lvl,Inside,Sawyer,1Fam,1965,1965,TA,TA,5,5,864,TA,360.0,TA,TA,WD ,62383
509,IR1,Lvl,Inside,NridgHt,1Fam,2008,2008,Ex,TA,9,5,2713,Ex,858.0,TA,TA,New,446261
510,Reg,Lvl,Inside,SWISU,1Fam,1926,1997,TA,TA,7,8,1479,Gd,312.0,TA,TA,WD ,160000
511,Reg,Lvl,Inside,Blmngtn,TwnhsE,2004,2004,Gd,TA,7,5,1576,Gd,668.0,TA,TA,WD ,219990
512,IR1,Lvl,CulDSac,CollgCr,1Fam,1999,2000,Gd,TA,7,5,1479,Gd,577.0,TA,TA,WD ,191000
513,Reg,Bnk,Inside,BrkSide,1Fam,1925,1994,TA,Gd,5,7,1060,TA,308.0,Fa,TA,WD ,136500
514,IR1,Lvl,CulDSac,Edwards,1Fam,1958,1994,TA,TA,4,5,943,Gd,308.0,TA,TA,WD ,80000
515,IR1,Lvl,Corner,NWAmes,1Fam,1988,1988,Gd,Gd,7,5,2183,Gd,786.0,TA,TA,WD ,229000
516,Reg,Lvl,Inside,SawyerW,1Fam,1993,1994,Gd,TA,7,5,1949,Gd,574.0,TA,TA,WD ,236000
517,IR1,HLS,Inside,Timber,1Fam,2006,2007,Ex,TA,10,5,1824,Ex,932.0,TA,TA,New,392000
518,Reg,Lvl,Inside,IDOTRR,1Fam,1927,1950,TA,TA,6,5,1930,TA,316.0,TA,TA,WD ,149000
519,IR1,Lvl,Inside,Somerst,TwnhsE,1998,1999,Ex,TA,10,5,2393,Ex,846.0,TA,TA,WD ,345000
520,Reg,Lvl,Corner,OldTown,1Fam,1900,2005,Gd,Gd,5,8,2014,TA,624.0,TA,TA,WD ,169000
521,Reg,Lvl,Inside,Edwards,1Fam,1946,1950,TA,TA,4,5,1242,TA,336.0,TA,TA,WD ,109900
522,Reg,Lvl,Inside,Mitchel,1Fam,1993,1994,TA,TA,7,5,2000,TA,650.0,TA,TA,WD ,188000
523,Reg,Lvl,Inside,BrkSide,1Fam,1939,1950,TA,Fa,6,6,1412,TA,280.0,TA,TA,WD ,132500
524,Reg,Low,Inside,CollgCr,1Fam,1994,1994,TA,Gd,5,7,990,TA,440.0,TA,TA,WD ,143000
525,Reg,Lvl,Inside,Edwards,1Fam,1951,1951,TA,TA,5,6,1342,TA,256.0,TA,TA,WD ,125000
526,IR1,HLS,Corner,NridgHt,1Fam,2005,2005,Ex,TA,9,5,1868,Ex,1085.0,TA,TA,WD ,415000
527,Reg,Lvl,Inside,OldTown,1Fam,1910,1950,TA,TA,4,7,1363,TA,528.0,TA,TA,WD ,125500
528,Reg,Lvl,Inside,NAmes,1Fam,1958,1988,TA,TA,6,6,1632,TA,338.0,TA,TA,WD ,139000
529,IR1,Lvl,Corner,NridgHt,1Fam,2008,2008,Ex,TA,10,5,2296,Ex,842.0,TA,TA,ConLI,451950
530,Reg,Lvl,Inside,Edwards,Duplex,1959,1959,TA,TA,5,5,1678,TA,0.0,,,WD ,119900
531,IR1,Lvl,Inside,Timber,1Fam,2001,2002,Gd,TA,8,5,1296,Gd,471.0,TA,TA,WD ,220000
532,Reg,Lvl,Inside,NAmes,1Fam,1971,1971,TA,TA,6,6,1587,TA,525.0,TA,TA,WD ,167300
533,Reg,Lvl,Inside,Edwards,1Fam,1941,1950,TA,TA,5,6,1298,TA,256.0,TA,TA,WD ,122000
534,Reg,Lvl,Inside,Sawyer,Duplex,1963,1963,TA,TA,5,5,1728,TA,504.0,TA,TA,ConLI,125000
535,Reg,Lvl,Inside,OldTown,1Fam,1957,1957,TA,TA,5,6,928,TA,288.0,TA,TA,WD ,112500
536,Reg,Lvl,Inside,CollgCr,1Fam,2005,2006,Gd,TA,7,5,1795,Gd,578.0,TA,TA,WD ,191000
537,Reg,Lvl,Corner,NAmes,1Fam,1958,1958,TA,Gd,6,7,1080,TA,288.0,TA,TA,WD ,136000
538,Reg,Lvl,Corner,CollgCr,1Fam,1998,1998,TA,TA,7,5,1779,Gd,546.0,TA,TA,WD ,197900
539,Reg,Lvl,Corner,OldTown,1Fam,1910,2003,TA,Gd,6,8,1635,Gd,255.0,Fa,TA,WD ,117000
540,Reg,Lvl,Inside,CollgCr,1Fam,2006,2006,Gd,TA,7,5,1220,Gd,632.0,TA,TA,New,194000
541,IR1,Lvl,Inside,Somerst,TwnhsE,2001,2001,Gd,TA,9,5,1310,Gd,545.0,TA,TA,WD ,285000
542,Reg,Lvl,Inside,Edwards,2fmCon,1940,1999,TA,Gd,5,7,1355,TA,0.0,,,WD ,127500
543,IR1,Lvl,CulDSac,NoRidge,1Fam,1992,2000,Gd,TA,7,5,2295,Gd,590.0,TA,TA,WD ,268000
544,Reg,Lvl,Inside,OldTown,1Fam,1900,1950,TA,TA,4,8,1798,TA,342.0,TA,TA,WD ,137000
545,IR1,Lvl,CulDSac,NWAmes,1Fam,1967,1967,TA,TA,7,7,1620,Gd,578.0,TA,TA,WD ,215000
546,Reg,Lvl,Inside,NAmes,1Fam,1955,1955,TA,TA,5,5,1216,TA,336.0,TA,TA,WD ,129500
547,Reg,Lvl,Inside,BrkSide,1Fam,1936,1950,TA,TA,5,4,1344,TA,240.0,Fa,TA,WD ,115000
548,Reg,Lvl,Corner,OldTown,1Fam,1925,1950,TA,Gd,5,8,1159,TA,288.0,Fa,TA,WD ,114000
549,Reg,Lvl,Inside,SawyerW,1Fam,1966,1966,TA,TA,4,4,1056,TA,384.0,TA,TA,WD ,107000
550,Reg,Lvl,Inside,NAmes,1Fam,1947,1950,TA,TA,5,5,1216,TA,336.0,TA,TA,COD,118500
551,Reg,Lvl,Corner,BrkSide,1Fam,1929,1950,TA,TA,6,7,1158,TA,208.0,TA,TA,WD ,120000
552,Reg,Lvl,Inside,Somerst,1Fam,2005,2005,Gd,TA,8,5,1538,Gd,484.0,TA,TA,WD ,260000
553,IR1,Lvl,Inside,NAmes,1Fam,1959,1959,TA,TA,5,5,1143,TA,308.0,TA,TA,WD ,136000
554,Reg,Lvl,Inside,NAmes,1Fam,1971,1971,TA,TA,4,5,872,TA,480.0,TA,TA,WD ,123000
555,IR1,Lvl,Inside,IDOTRR,1Fam,1920,1950,TA,Fa,6,7,1406,Fa,0.0,,,WD ,89500
556,IR1,Lvl,Corner,Gilbert,1Fam,2005,2005,Gd,TA,6,5,1324,Gd,430.0,TA,TA,WD ,199500
557,IR1,Lvl,Inside,Sawyer,1Fam,1966,1966,TA,TA,5,7,904,TA,408.0,TA,TA,WD ,109900
558,Reg,Lvl,Inside,Crawfor,1Fam,1926,2004,Gd,TA,7,9,2080,Gd,282.0,TA,TA,WD ,234000
559,Reg,Lvl,Inside,CollgCr,TwnhsE,2004,2004,Gd,TA,6,5,848,Gd,420.0,TA,TA,WD ,155900
560,Reg,Lvl,Inside,ClearCr,1Fam,1957,1989,TA,TA,4,5,1788,TA,304.0,TA,TA,WD ,161500
561,IR1,Lvl,CulDSac,Timber,1Fam,1958,1958,TA,TA,6,6,1344,Gd,525.0,TA,TA,COD,137500
562,Reg,Lvl,Inside,OldTown,2fmCon,1910,1950,TA,Fa,5,3,2256,Fa,0.0,,,WD ,76500
563,IR1,Lvl,Corner,ClearCr,1Fam,1988,1989,Gd,TA,6,5,2060,TA,521.0,TA,TA,WD ,211000
564,Reg,Lvl,Inside,NAmes,TwnhsE,1998,1999,Gd,TA,6,5,1337,Gd,511.0,TA,TA,COD,181000
565,Reg,Lvl,Inside,NAmes,1Fam,1966,1966,TA,TA,6,7,1165,TA,490.0,Gd,Gd,WD ,174900
566,IR1,Lvl,Inside,Sawyer,1Fam,1966,1966,TA,TA,5,6,1320,TA,564.0,TA,TA,WD ,164500
567,IR1,Lvl,Inside,NridgHt,1Fam,2004,2004,Gd,TA,7,5,1535,Gd,532.0,TA,TA,WD ,214000
568,Reg,Lvl,Inside,NWAmes,1Fam,1980,1988,TA,TA,7,6,2044,TA,489.0,TA,TA,WD ,185000
569,Reg,Lvl,Inside,BrkSide,1Fam,1929,1950,TA,TA,4,7,1136,TA,336.0,TA,TA,WD ,123000
570,IR1,Bnk,CulDSac,Mitchel,1Fam,1979,1979,TA,TA,6,6,1299,Gd,486.0,TA,TA,WD ,183500
571,Reg,Lvl,Inside,Somerst,Twnhs,1999,2000,Gd,TA,8,5,1441,Gd,492.0,TA,TA,WD ,174000
572,IR1,Lvl,Inside,Edwards,1Fam,1953,1953,TA,TA,5,5,1630,TA,649.0,TA,TA,COD,130000
573,Reg,Lvl,Inside,OldTown,1Fam,1925,1990,TA,TA,7,7,1641,Ex,546.0,Fa,TA,WD ,178000
574,IR1,Lvl,Inside,Gilbert,1Fam,1997,1998,TA,TA,5,5,1629,TA,482.0,TA,TA,WD ,189900
575,Reg,Lvl,Inside,CollgCr,TwnhsE,2003,2004,Gd,TA,6,5,848,Gd,420.0,TA,TA,WD ,144000
576,Reg,Lvl,Corner,IDOTRR,1Fam,1930,2007,Gd,Gd,6,8,816,TA,432.0,TA,TA,WD ,120500
577,Reg,Lvl,Corner,CollgCr,1Fam,1994,1995,TA,TA,5,5,1097,TA,672.0,TA,TA,WD ,145000
578,Reg,Lvl,Inside,StoneBr,TwnhsE,2000,2000,Gd,TA,8,5,1652,Ex,499.0,TA,TA,WD ,251000
579,Reg,Lvl,Inside,Sawyer,Duplex,1968,1968,TA,TA,4,5,1768,TA,0.0,,,WD ,136500
580,Reg,Lvl,Inside,Edwards,Duplex,1955,1955,TA,TA,4,5,1152,TA,0.0,,,WD ,82500
581,Reg,Lvl,Inside,IDOTRR,1Fam,1910,1950,Fa,Fa,2,4,810,TA,280.0,TA,TA,ConLD,57625
582,IR1,Lvl,Inside,NridgHt,TwnhsE,2007,2008,Gd,TA,7,5,1358,Gd,484.0,TA,TA,WD ,212500
583,Reg,Lvl,FR2,Mitchel,Twnhs,1998,1998,TA,TA,6,5,1216,TA,402.0,TA,TA,WD ,164000
584,Reg,Lvl,Inside,IDOTRR,1Fam,1957,1957,TA,TA,6,5,1638,Gd,384.0,TA,TA,WD ,139000
585,Reg,Lvl,Inside,Somerst,Twnhs,1999,2000,Gd,TA,7,5,1252,Gd,462.0,TA,TA,WD ,160000
586,Reg,Lvl,Inside,Mitchel,1Fam,1992,1993,TA,TA,5,6,883,TA,698.0,TA,TA,WD ,149000
587,Reg,Lvl,Inside,Mitchel,1Fam,1968,1968,TA,TA,5,6,874,TA,288.0,TA,TA,WD ,130000
588,IR1,Bnk,Inside,OldTown,1Fam,1921,1950,TA,TA,7,6,1710,TA,480.0,TA,TA,WD ,140000
589,Reg,Lvl,Corner,Somerst,1Fam,2008,2009,Gd,TA,8,5,1836,Gd,517.0,TA,TA,New,264500
590,IR1,Lvl,Inside,NAmes,1Fam,1957,1957,TA,TA,5,5,1092,TA,299.0,TA,TA,WD ,141000
591,IR1,Lvl,Inside,Somerst,TwnhsE,2006,2007,Gd,TA,7,5,1241,Gd,569.0,TA,TA,New,199900
592,Reg,Lvl,Inside,NWAmes,1Fam,1977,1977,TA,TA,6,5,1334,TA,630.0,TA,TA,WD ,167900
593,IR1,Lvl,CulDSac,NAmes,1Fam,1960,1987,TA,TA,6,6,1429,Gd,572.0,TA,TA,WD ,181900
594,Reg,Lvl,Inside,Somerst,1Fam,2008,2008,Gd,TA,8,5,1566,Gd,750.0,TA,TA,WD ,262500
595,IR1,Lvl,Inside,NWAmes,1Fam,1977,1992,TA,Gd,7,7,2288,Gd,520.0,TA,TA,WD ,230000
596,IR1,Lvl,CulDSac,Somerst,TwnhsE,1999,2000,Gd,TA,9,5,1709,Gd,506.0,TA,TA,CWD,328900
597,IR1,Lvl,Inside,NridgHt,1Fam,2005,2005,Gd,TA,8,5,1721,Gd,554.0,TA,TA,WD ,232698
598,IR1,Lvl,Corner,CollgCr,1Fam,2008,2008,Gd,TA,8,5,1254,Gd,810.0,TA,TA,WD ,221800
599,Reg,Lvl,Corner,Sawyer,1Fam,1941,1973,TA,TA,5,7,1350,Gd,627.0,TA,TA,WD ,152400
600,Reg,Lvl,Inside,CollgCr,1Fam,2000,2001,Gd,TA,7,5,1630,Gd,451.0,TA,TA,WD ,213000
601,IR1,Lvl,Inside,SawyerW,1Fam,2005,2005,Gd,TA,7,5,1585,Gd,449.0,TA,TA,WD ,184900
602,Reg,Lvl,Corner,Crawfor,2fmCon,1953,1953,TA,TA,5,5,1336,TA,375.0,TA,TA,WD ,157000
603,IR1,Lvl,Inside,Sawyer,1Fam,1962,2002,TA,TA,5,6,1211,TA,576.0,TA,TA,WD ,144000
604,Reg,Lvl,Inside,NWAmes,1Fam,1979,1999,TA,TA,6,5,1353,TA,478.0,TA,TA,WD ,192350
605,Reg,Lvl,Inside,NAmes,1Fam,1966,1966,TA,TA,7,6,1200,TA,440.0,TA,TA,CWD,163500
606,Reg,Lvl,Inside,SawyerW,1Fam,1990,1990,TA,TA,7,5,2329,Gd,514.0,TA,TA,WD ,262280
607,Reg,Lvl,Inside,CollgCr,1Fam,2002,2003,Gd,TA,7,5,1536,Gd,532.0,TA,TA,WD ,214000
608,IR1,Lvl,Inside,Crawfor,1Fam,1956,2004,TA,TA,6,7,1811,Ex,470.0,TA,TA,WD ,230000
609,Reg,Lvl,Corner,NridgHt,1Fam,2006,2006,Gd,TA,7,5,2172,Gd,947.0,TA,TA,New,280000
610,Reg,Lvl,Corner,IDOTRR,1Fam,1957,1980,TA,TA,4,6,1073,TA,720.0,TA,TA,WD ,140000
611,Reg,Lvl,Inside,NAmes,1Fam,1966,1966,TA,TA,6,5,1839,TA,442.0,TA,TA,WD ,155000
612,Reg,Lvl,Corner,IDOTRR,1Fam,1918,1950,Fa,Fa,3,3,1020,Fa,0.0,,,ConLD,64500
613,IR1,Lvl,CulDSac,SawyerW,1Fam,1993,1993,Gd,Gd,6,7,1802,Gd,1017.0,TA,TA,WD ,218000
614,Reg,Lvl,Inside,CollgCr,1Fam,1977,1977,TA,TA,5,7,1009,TA,576.0,TA,TA,WD ,160000
615,Reg,Lvl,Inside,Somerst,1Fam,2007,2007,Gd,TA,8,5,1338,Gd,598.0,TA,TA,New,208900
616,IR1,Lvl,Inside,Edwards,1Fam,1959,1996,TA,TA,5,7,3820,Ex,624.0,TA,TA,WD ,284700
617,Reg,Lvl,Inside,Somerst,TwnhsE,2007,2007,Gd,TA,7,5,1392,Gd,540.0,TA,TA,WD ,146000
618,IR2,Lvl,Inside,Veenker,TwnhsE,1996,1996,Gd,TA,8,5,1288,Ex,500.0,TA,TA,WD ,245500
619,Reg,Bnk,Inside,BrkSide,1Fam,1926,1950,TA,TA,6,7,1013,TA,160.0,Fa,TA,WD ,113000
620,IR1,Lvl,FR3,NridgHt,1Fam,2004,2005,Gd,TA,8,5,1782,Gd,932.0,TA,TA,WD ,296000
621,IR1,HLS,Corner,StoneBr,1Fam,2005,2006,Gd,TA,9,5,1922,Gd,676.0,TA,TA,WD ,377426
622,Reg,Lvl,FR2,NridgHt,1Fam,2006,2007,Ex,TA,10,5,1718,Ex,786.0,TA,TA,WD ,337500
623,IR1,HLS,Inside,NridgHt,1Fam,2004,2005,Ex,TA,10,5,2492,Ex,949.0,TA,TA,WD ,552000
624,Reg,Lvl,Inside,Edwards,1Fam,1948,1950,TA,Gd,4,7,936,TA,265.0,TA,Po,WD ,97900
625,IR1,Lvl,Inside,Somerst,1Fam,2009,2009,Gd,TA,6,5,1218,Gd,676.0,TA,TA,New,208300
626,Reg,Lvl,Inside,Mitchel,1Fam,1996,1997,TA,TA,7,5,1820,Gd,816.0,TA,TA,WD ,213000
627,IR1,Lvl,CulDSac,CollgCr,1Fam,1998,1999,TA,TA,7,5,1724,Gd,527.0,TA,TA,WD ,188000
628,IR1,Lvl,Corner,NAmes,1Fam,1958,1958,TA,TA,6,6,1336,TA,488.0,TA,TA,WD ,162000
629,Reg,Lvl,Inside,IDOTRR,1Fam,1950,1950,TA,TA,5,5,1558,TA,282.0,TA,TA,WD ,152000
630,Reg,Lvl,Corner,Somerst,1Fam,2004,2005,Gd,TA,7,5,1947,Gd,678.0,TA,TA,WD ,254900
631,IR2,Lvl,CulDSac,SawyerW,1Fam,1994,1995,Gd,TA,7,5,1657,Gd,483.0,TA,TA,WD ,189000
632,IR1,Lvl,CulDSac,NWAmes,1Fam,1978,1978,Gd,Gd,7,5,2064,Gd,550.0,TA,TA,WD ,235000
